title:,author,length
Blood Pact,Dan Abnett,Length: 10 hrs and 55 mins
Caught Sleeping,Jen Lyon,Length: 10 hrs and 1 min
Vow Maker,Lily Morton,Length: 3 hrs and 6 mins
Prophet Song,Paul Lynch,Length: 8 hrs and 32 mins
"Azarinth Healer, Book Three",Rhaegar,Length: 29 hrs and 23 mins
Another Girl,Peter Grainger,Length: 9 hrs
"The False Hero, Volume 8",Michael Plymel,Length: 10 hrs and 13 mins
Finally Forever,Nadia Lee,Length: 11 hrs and 45 mins
Fall for You,Felice Stevens,Length: 7 hrs and 27 mins
Sable Peak,Devney Perry,Length: 9 hrs and 43 mins
Matrimonial Merriment,Nicky James,Length: 10 hrs and 19 mins
Bikini Days,Michael Dalton,Length: 5 hrs and 50 mins
Faking with Benefits,Lily Gold,Length: 13 hrs and 34 mins
Sylver Seeker 2,Kennit Kenway,Length: 22 hrs and 56 mins
What Do You Know About Human Harvesting?,Frederick Dodson,Length: 11 hrs and 16 mins
In Your Wildest Dreams,Rebecca Jenshak,Length: 8 hrs and 32 mins
Tangled in Tinsel,Trilina Pucci,Length: 7 hrs and 16 mins
Their Lost Souls,Roger Stelljes,Length: 13 hrs and 32 mins
A Wreath of Red Roses,Karen Baugh Menuhin,Length: 8 hrs and 44 mins
Winter Lost,Patricia Briggs,Length: 11 hrs
Rise of the Weakest Healer,Blake Alexander,Length: 10 hrs and 8 mins
Discovering Daniel,"Amir Tsarfati,Rick Yohn - contributor",Length: 6 hrs and 13 mins
Dirty Truths,Brittanee Nicole,Length: 8 hrs and 34 mins
Fused,J.L. Mullins,Length: 11 hrs and 51 mins
A Warm Place 8,Misty Vixen,Length: 6 hrs and 56 mins
MeatEater's American History: The Long Hunters (1761-1775),Steven Rinella,Length: 5 hrs
The Accidental Superpower,Mr. Peter Zeihan,Length: 13 hrs and 55 mins
Last Licks,M.R. Forbes,Length: 10 hrs and 35 mins
Red Sky Mourning,Jack Carr,Length: 15 hrs and 30 mins
Apocalypse Tamer 4,Maxime J. Durand,Length: 16 hrs and 41 mins
Angel of Vengeance,"Douglas Preston,Lincoln Child",Length: 14 hrs
Defiant,Brandon Sanderson,Length: 13 hrs and 49 mins
Thunderplump,Dakota Krout,Length: 12 hrs and 13 mins
Witchbringer,Steven B Fischer,Length: 9 hrs and 33 mins
"Blue Core, Book Three",InadvisablyCompelled,Length: 28 hrs and 54 mins
Rich AF,Vivian Tu,Length: 8 hrs and 5 mins
Money Shot,Heather Long,Length: 10 hrs and 12 mins
State of Bliss,Marie Force,Length: 10 hrs and 17 mins
House of Flame and Shadow,Sarah J. Maas,Length: Not Yet Known
The Immortal's Guide to Supervillainy Vol. 3,M.E. Thorne,Length: 9 hrs and 40 mins
You Like It Darker,Stephen King,Length: 20 hrs
Fourth Wing (Part 1 of 2) (Dramatized Adaptation),Rebecca Yarros,Length: 8 hrs
Where Have All the Heroes Gone?,Jeff Tiegs,Length: 9 hrs and 11 mins
Defiance of the Fall 11,"TheFirstDefier,JF Brink",Length: 24 hrs and 47 mins
Aftermath,Craig Alanson,Length: 19 hrs and 4 mins
Born of Blood and Ash,Jennifer L. Armentrout,Length: 24 hrs
Illegal Contact,"Neve Wilder,Riley Hart",Length: 6 hrs and 45 mins
Dead Reckoning,Joshua Dalzelle,Length: 8 hrs and 26 mins
Into Siberia,Gregory J. Wallance,Length: 9 hrs and 4 mins
The First Rule of Mastery,"Michael Gervais,Kevin Lake - contributor",Length: 9 hrs
A Team of Three,Brad Lee,Length: 14 hrs and 10 mins
The Miracle Morning (Updated and Expanded Edition),Hal Elrod,Length: 7 hrs and 22 mins
On a Throne of Lies,Eric Ugland,Length: 9 hrs and 42 mins
Path of Tyrants,"J.N. Chaney,Terry Maggert",Length: 10 hrs and 32 mins
Somewhere Beyond the Sea,TJ Klune,Length: 12 hrs
The Primal Hunter 7 - A LitRPG Adventure,Zogarth,Length: 17 hrs and 49 mins
"Summer, 1976",David Auburn,Length: 1 hr and 25 mins
Bonds of Blood,Nazri Noor,Length: 4 hrs and 21 mins
The Lost Portal,Vaughn Heppner,Length: 12 hrs and 43 mins
The Wuhan Cover-Up,Robert F. Kennedy Jr.,Length: 22 hrs and 9 mins
The Doctor's Mistress,Daniel Hurst,Length: 7 hrs and 13 mins
Hell Divers XI: Renegades,Nicholas Sansbury Smith,Length: 14 hrs
Dark Psychology and Gaslighting Manipulation,Clarissa Fletcher,Length: 3 hrs and 1 min
God of Fury,Rina Kent,Length: 15 hrs and 59 mins
The Meaning of Storms,John Wiltshire,Length: 9 hrs and 46 mins
Thesaurize,Dakota Krout,Length: 11 hrs and 40 mins
Living for You,Jenny Frame,Length: 7 hrs and 50 mins
A Touch of Chaos,Scarlett St. Clair,Length: 12 hrs
Because of Her,Jewel E. Ann,Length: 10 hrs and 36 mins
Christmas Pie,Jodi Taylor,Length: 10 hrs
Three-Inch Teeth,C. J. Box,Length: 12 hrs and 15 mins
Sea of Souls,Chris Wraight,Length: 11 hrs and 15 mins
Ignition,Seth Ring,Length: 14 hrs and 27 mins
War on Highlands,JJ Bookerson,Length: 20 hrs and 32 mins
Nuff Said,Tyrus,Length: 4 hrs and 57 mins
He's Not My Type,Meghan Quinn,Length: 11 hrs and 40 mins
A Game of Hearts and Heists,Ruby Roe,Length: 10 hrs and 2 mins
Survivor's Quest,Timothy Zahn,Length: 18 hrs and 49 mins
The Chaos Agent,Mark Greaney,Length: Not Yet Known
Unbalanced Luck,Mel Todd,Length: 12 hrs and 3 mins
Revelation: A LitRPG Adventure,V.A. Lewis,Length: 9 hrs and 23 mins
Dungeon Diving 104,Bruce Sentar,Length: 11 hrs and 50 mins
My Quiet Blacksmith Life in Another World: Volume 4,Tamamaru,Length: 6 hrs and 36 mins
Do the New You,Steven Furtick,Length: 7 hrs and 30 mins
It's Not You,Ramani Durvasula PhD,Length: 12 hrs
Feel-Good Productivity,Ali Abdaal,Length: 5 hrs and 31 mins
Toddler Discipline 101,Christina James,Length: 3 hrs and 29 mins
Money Is Not a Math Problem,Jade Warshaw,Length: 1 hr and 45 mins
Murder at an Irish Chipper,Carlene O'Connor,Length: 10 hrs
These Rough Waters,Ria Wilde,Length: 8 hrs and 45 mins
No One Can Know,Kate Alice Marshall,Length: 10 hrs and 15 mins
Immortal Journeys,"Kenneth Arant,Eden Hudson,Gage Lee",Length: 32 hrs and 8 mins
How to Lose a Guy Before Christmas,A.J. Pine,Length: 5 hrs and 24 mins
